City,Country,Latitude,Longitude,dt,p10,p50,p90
magelang,indonesia,7.23s,109.46e,2013-11-01,16.931455483975604,18.802179651384968,21.11193956824775
manbij,syria,36.17n,37.79e,2013-10-01,12.66891288967379,15.880423349361127,19.04232972445476
manbij,syria,36.17n,37.79e,2013-11-01,5.426323607243349,8.39193435157681,12.943844195478537
slough,united kingdom,52.24n,0.00w,2013-10-01,6.590368907593957,8.671959267824429,10.672775475523412
slough,united kingdom,52.24n,0.00w,2013-11-01,1.8625096052724182,3.9118754356230543,6.796909940497198
rampur,india,28.13n,79.09e,2013-10-01,16.888055523992275,19.67777828857765,22.076989262752345
rampur,india,28.13n,79.09e,2013-11-01,10.381125681234249,13.502680849948831,17.697692067539716
rengasdengklok,indonesia,5.63s,106.55e,2013-10-01,17.30412738671272,19.083410868299747,20.908468193489494
rengasdengklok,indonesia,5.63s,106.55e,2013-11-01,12.985787864121445,14.889298465780115,17.261567005012054
amersfoort,netherlands,52.24n,5.26e,2013-10-01,5.92399443738051,8.13380611137655,10.364327726001987
amersfoort,netherlands,52.24n,5.26e,2013-11-01,0.8487766647156161,3.2362389433944987,6.295148312445994
coquimbo,chile,29.74s,72.00w,2013-10-01,9.15232276972699,10.412273935333133,11.849483926591985
coquimbo,chile,29.74s,72.00w,2013-11-01,7.808751204278693,9.24047187329646,10.973522469178155
onitsha,nigeria,5.63n,6.46e,2013-10-01,17.41725350773531,19.154486871795534,21.079479893626512
onitsha,nigeria,5.63n,6.46e,2013-11-01,15.031154489854963,16.963669405954427,19.286063557832644
potsdam,germany,52.24n,13.14e,2013-10-01,4.979098301762166,7.6322862300748575,10.243911417469867
potsdam,germany,52.24n,13.14e,2013-11-01,-0.32779337210519965,2.1749344881077963,5.87219871002328
sirjan,iran,29.74n,55.38e,2013-10-01,10.609424575861722,13.223748142556154,16.302279414269943
sirjan,iran,29.74n,55.38e,2013-11-01,4.053123082231785,6.633554881493233,10.652089117212007
ajmer,india,26.52n,75.22e,2013-10-01,17.415148382488443,20.14846748755432,22.454835023293274
ajmer,india,26.52n,75.22e,2013-11-01,11.296900811605076,14.450785813125213,18.46670985864851
juba,sudan,4.02n,31.34e,2013-10-01,20.25706811963949,22.132590937096793,24.071263814906345
juba,sudan,4.02n,31.34e,2013-11-01,17.842999306957115,19.704377823378252,22.030549166572968
kwekwe,zimbabwe,18.48s,30.42e,2013-10-01,16.972338219094677,19.366941642279674,21.30744340273373
kwekwe,zimbabwe,18.48s,30.42e,2013-11-01,15.405989699260038,17.276314950872237,19.394982621349833
nice,france,44.20n,6.71e,2013-10-01,5.891492843370765,8.084717752969931,10.304024647670335
nice,france,44.20n,6.71e,2013-11-01,0.46653358396760003,2.571208575441449,5.657731713261532
angeles,philippines,15.27n,120.83e,2013-10-01,17.992128168244825,19.81013519198219,21.665764813622246
angeles,philippines,15.27n,120.83e,2013-11-01,15.516908729997098,17.467627841252582,19.824925155099553
braga,portugal,40.99n,8.52w,2013-10-01,10.59300044384945,12.720552708540666,14.743492061655617
braga,portugal,40.99n,8.52w,2013-11-01,6.660452337951025,8.833484205637616,11.65602029088799
khujand,tajikistan,40.99n,70.30e,2013-10-01,4.465365433107303,7.558281944999956,10.986836069145006
khujand,tajikistan,40.99n,70.30e,2013-11-01,-1.03048595066035,2.689915192942034,7.225824224983831
laredo,united states,28.13n,99.09w,2013-10-01,20.706561851028475,23.37764812255932,25.96288797121816
laredo,united states,28.13n,99.09w,2013-11-01,13.380874380763766,16.080118779853144,19.832318960284045
oakland,united states,37.78n,122.03w,2013-10-01,14.500949205042785,16.575792930817656,18.485995231548173
oakland,united states,37.78n,122.03w,2013-11-01,8.552520933019961,10.631517300849586,13.342253125241257
offa,nigeria,8.84n,4.05e,2013-10-01,17.71120100348677,19.567443470222436,21.24413255753774
offa,nigeria,8.84n,4.05e,2013-11-01,14.848745942985975,16.850562853816832,19.189490591144896
sanhsia,taiwan,24.92n,120.59e,2013-10-01,17.58360462893227,19.955945220332804,22.225222008781223
sanhsia,taiwan,24.92n,120.59e,2013-11-01,13.487680043532176,15.832507312024998,18.86688489069994
dagupan,philippines,16.87n,120.56e,2013-10-01,18.446148673297536,20.20497080273866,22.00904698753039
dagupan,philippines,16.87n,120.56e,2013-11-01,15.114048862933068,16.984502116471674,19.22382099954472
jakarta,indonesia,5.63s,106.55e,2013-10-01,17.284980728768964,19.03702562392966,20.622627125224056
jakarta,indonesia,5.63s,106.55e,2013-11-01,12.978055030261913,14.945859565784318,17.339473605961338
musashino,japan,36.17n,139.23e,2013-10-01,8.891118670628298,11.387941591552854,13.707025077386254
musashino,japan,36.17n,139.23e,2013-11-01,2.8505574645052945,5.2180151644402635,8.935577786296722
scottsdale,united states,32.95n,112.02w,2013-10-01,19.68865398871416,22.60553834473983,25.314735573539345
scottsdale,united states,32.95n,112.02w,2013-11-01,10.633618082055337,13.448597119062288,17.97100092251859
fontana,united states,34.56n,116.76w,2013-10-01,15.730923472290472,18.585723230402024,21.31797057982766
fontana,united states,34.56n,116.76w,2013-11-01,7.511255021465121,10.34992346601251,14.534308959989534
libreville,gabon,0.80n,8.84e,2013-10-01,14.225507403545073,15.960714024289883,17.52257355099885
libreville,gabon,0.80n,8.84e,2013-11-01,11.108958284838437,13.121729729965102,15.481335847047077
luziânia,brazil,16.87s,48.56w,2013-10-01,18.82271979483718,20.71270565621932,22.663877995303324
luziânia,brazil,16.87s,48.56w,2013-11-01,16.297756532225453,18.08765298936226,20.294982967035782
agartala,india,23.31n,91.75e,2013-10-01,19.87936798158401,22.11983704867669,24.111140689298647
agartala,india,23.31n,91.75e,2013-11-01,14.703123158084711,17.501763091265012,20.759001171723945
dijon,france,47.42n,5.92e,2013-10-01,5.644768547732559,8.131672988057057,10.43482183520077
dijon,france,47.42n,5.92e,2013-11-01,0.21422326835819622,2.706486342472651,5.87110594597071
lipetsk,russia,52.24n,39.42e,2013-10-01,-0.02692559426703897,3.4698732756156283,7.533246034419712
lipetsk,russia,52.24n,39.42e,2013-11-01,-6.183627641839979,-2.1900416725617675,3.0159322320178203
batangas,philippines,13.66n,121.38e,2013-10-01,17.388043131156998,19.174033763182237,20.796443817648353
batangas,philippines,13.66n,121.38e,2013-11-01,14.854949490391206,16.870430727091478,19.260611208671115
ibagué,colombia,4.02n,74.73w,2013-10-01,12.395676692952497,13.85372635670091,15.441419121231643
ibagué,colombia,4.02n,74.73w,2013-11-01,10.34228189771045,11.88690740339052,13.864687273145822
lowell,united states,42.59n,72.00w,2013-10-01,7.287693439353452,9.86070974514374,13.04028733488466
lowell,united states,42.59n,72.00w,2013-11-01,0.16599335483440175,2.8558603533901357,6.896208199405106
maturín,venezuela,10.45n,63.00w,2013-10-01,16.354278359219677,18.15220665108121,20.009732198323057
maturín,venezuela,10.45n,63.00w,2013-11-01,12.547535502617668,14.534596241114741,17.007859841594815
neiva,colombia,2.41n,74.73w,2013-10-01,15.383307529151262,17.07582407206968,18.68598501711625
neiva,colombia,2.41n,74.73w,2013-11-01,11.850074898301324,13.729757360344841,16.10186792933759
orsha,belarus,53.84n,31.36e,2013-10-01,0.8243593097061764,3.8244630511124402,7.418250539499296
orsha,belarus,53.84n,31.36e,2013-11-01,-4.93795247461446,-1.3068781724826264,3.3074534593628613
reggio di calabria,italy,37.78n,16.27e,2013-10-01,14.248400148332808,16.541500241327785,18.922351361016126
reggio di calabria,italy,37.78n,16.27e,2013-11-01,9.926312417054557,12.046666311494912,15.102397492527972
bila tserkva,ukraine,49.03n,29.39e,2013-10-01,2.8282356513574345,5.80749286304496,9.245004144847663
bila tserkva,ukraine,49.03n,29.39e,2013-11-01,-2.913589315308121,0.5132320018646892,4.882463327044574
lübeck,germany,53.84n,9.55e,2013-10-01,4.581451900913707,7.0614709001152836,9.420740517296824
lübeck,germany,53.84n,9.55e,2013-11-01,-0.4687106856310546,1.8454351670483593,5.263655729741118
palmas,brazil,10.45s,48.27w,2013-10-01,18.868134941848428,20.84706893473102,22.66356173895393
palmas,brazil,10.45s,48.27w,2013-11-01,14.931584552961121,16.980850214113836,19.573615627773606
chula vista,united states,32.95n,117.77w,2013-10-01,16.873716044159664,18.67633276000437,20.189146293572072
chula vista,united states,32.95n,117.77w,2013-11-01,11.85723469248663,13.811150828858926,16.198257260506313
korba,india,21.70n,82.21e,2013-10-01,18.3866066553965,20.84069152773451,22.797430166646752
korba,india,21.70n,82.21e,2013-11-01,13.548060801811705,16.448188978563252,19.96615916290161
malakal,sudan,8.84n,31.62e,2013-10-01,21.335275721341468,23.32683702962407,25.390383062522783
malakal,sudan,8.84n,31.62e,2013-11-01,19.29790598647992,21.318388642623546,23.776834942394235
parakou,benin,8.84n,2.43e,2013-10-01,17.289219995059838,19.143606703450534,20.85504065071744
parakou,benin,8.84n,2.43e,2013-11-01,15.226334176721679,17.250002916180133,19.56181881743052
philadelphia,united states,39.38n,74.91w,2013-10-01,11.19639855080454,13.687172904384074,16.38372210387897
philadelphia,united states,39.38n,74.91w,2013-11-01,4.828673290121014,7.213829367163124,11.075485695345895
charallave,venezuela,10.45n,66.27w,2013-10-01,17.284468543809364,19.02166329597541,20.554895026279134
charallave,venezuela,10.45n,66.27w,2013-11-01,13.760827164372273,15.641956348302807,17.925777386861785
hagen,germany,52.24n,7.88e,2013-10-01,5.529950080543563,7.79752654206691,10.187448234885368
hagen,germany,52.24n,7.88e,2013-11-01,0.41525576652472324,2.9072435664347633,6.044264895552545
mahabad,iran,36.17n,45.75e,2013-10-01,8.992810550130834,11.939800977909357,14.586744200572069
mahabad,iran,36.17n,45.75e,2013-11-01,1.458790883999038,4.4196599044449405,8.810969215538087
orange,united states,32.95n,117.77w,2013-10-01,16.898195328445166,18.71408375754426,20.43395558350555
orange,united states,32.95n,117.77w,2013-11-01,11.843197806262074,13.7990984530587,16.22307431716671
arak,iran,34.56n,50.59e,2013-10-01,9.91954208366324,13.051773502489043,16.588849759785514
arak,iran,34.56n,50.59e,2013-11-01,2.8603563815293898,5.987538069601642,10.368422359944066
mandi bahauddin,pakistan,32.95n,73.72e,2013-10-01,16.330585772543614,19.109218597351536,21.47096439702809
mandi bahauddin,pakistan,32.95n,73.72e,2013-11-01,9.835132374409639,13.083957190775678,17.134749809892675
nawabganj,bangladesh,24.92n,88.67e,2013-10-01,20.537542476788197,22.97470078109821,25.064967372523085
nawabganj,bangladesh,24.92n,88.67e,2013-11-01,15.498053507708425,18.300608798510602,21.522451880668367
puerto vallarta,mexico,20.09n,105.78w,2013-10-01,26.689965282538193,28.15997365481597,29.625987497760317
puerto vallarta,mexico,20.09n,105.78w,2013-11-01,21.064971568402097,22.716413208339482,24.85964905644614
gera,germany,50.63n,11.41e,2013-10-01,4.038134034036245,6.588690095454381,9.045632259376571
gera,germany,50.63n,11.41e,2013-11-01,-1.1637084054137423,1.6020689651490336,5.089128778346483
haora,india,23.31n,88.25e,2013-10-01,20.734122661689643,23.167814936282845,25.264093570212445
haora,india,23.31n,88.25e,2013-11-01,15.105014301992787,18.034860450591786,21.56413139843744
comodoro rivadavia,argentina,45.81s,68.08w,2013-10-01,8.887674269056834,10.859906883215896,12.914432258466435
comodoro rivadavia,argentina,45.81s,68.08w,2013-11-01,9.359954372688126,11.6440010283875,13.681333423926985
ichalkaranji,india,16.87n,73.67e,2013-10-01,18.894567304456203,20.7129857575021,22.563221329074757
ichalkaranji,india,16.87n,73.67e,2013-11-01,14.806313415317273,16.90703492424331,19.27345364512161
los angeles,chile,34.56n,118.70w,2013-10-01,23.47730574350502,26.668051888590295,29.814722537878897
los angeles,chile,34.56n,118.70w,2013-11-01,18.27831397514778,21.61050600335683,25.75682296855398
obuasi,ghana,5.63n,1.61w,2013-10-01,16.97057886756635,18.781988770356495,20.671131258215294
obuasi,ghana,5.63n,1.61w,2013-11-01,14.278392240746506,16.195748117585623,18.437796090436976
angers,france,47.42n,1.18w,2013-10-01,8.049983542900195,10.315415713602258,12.747017532422085
angers,france,47.42n,1.18w,2013-11-01,2.9639603169039463,5.023045108315816,8.37735892827439
sirsa,india,29.74n,75.69e,2013-10-01,16.61486764208006,19.580125987687687,22.291457626590713
sirsa,india,29.74n,75.69e,2013-11-01,9.468433472020287,12.597467666995737,17.127318779503543
kragujevac,serbia,44.20n,20.12e,2013-10-01,5.960867546373552,8.886325744734663,11.76941159802207
kragujevac,serbia,44.20n,20.12e,2013-11-01,0.1446873131547624,3.0348044200711755,6.876233143857234
sancti spíritus,cuba,21.70n,78.75w,2013-10-01,24.797628971143496,26.317885112912954,27.945855591621335
sancti spíritus,cuba,21.70n,78.75w,2013-11-01,19.402043384759104,21.025133824970013,23.321630408975373
arapiraca,brazil,10.45s,36.82w,2013-10-01,14.386922509443947,16.246700547132725,17.85975393809418
arapiraca,brazil,10.45s,36.82w,2013-11-01,11.442820224549795,13.526882455299614,15.89293681270474
belgrade,serbia,44.20n,20.12e,2013-10-01,6.008728920273301,8.979641375642675,11.931942746931753
belgrade,serbia,44.20n,20.12e,2013-11-01,0.28930112970981126,3.0069159717064733,6.799099319281343
bologna,italy,44.20n,11.18e,2013-10-01,8.459254980453263,10.932047934775749,13.602507616701367
bologna,italy,44.20n,11.18e,2013-11-01,2.937555518151445,5.010636294107948,8.548816798816631
grand rapids,united states,42.59n,85.09w,2013-10-01,7.8837178366388425,10.80689555906444,14.139367345813646
grand rapids,united states,42.59n,85.09w,2013-11-01,0.36211051378509673,3.1075605380497935,7.385863819120738
purnia,india,26.52n,87.76e,2013-10-01,17.219898700885196,19.436376006536673,21.210053369119905
purnia,india,26.52n,87.76e,2013-11-01,11.93117679005486,14.808658915137908,18.037538175576998
bhavnagar,india,21.70n,71.83e,2013-10-01,18.515330288071326,20.774278333401064,22.555067104557665
bhavnagar,india,21.70n,71.83e,2013-11-01,13.500216750981135,16.244573751254247,19.07424586377381
esenyurt,turkey,40.99n,27.69e,2013-10-01,10.360951716557459,13.028052420334358,15.914045898158857
esenyurt,turkey,40.99n,27.69e,2013-11-01,4.999145183622248,7.63071388535726,11.157598643486176
oslo,norway,60.27n,9.73e,2013-10-01,-2.122789980473523,0.6865928403796098,3.9027341756206817
oslo,norway,60.27n,9.73e,2013-11-01,-7.875351353817603,-4.219980903046089,0.0431819961180917
